Brain network from Boas2014 image stack via Amira HxSpatialGraph
610 610 660 box dimensions in microns
32 32 32 number of tissue points in x,y,z directions
10	outer bound distance
100	max. segment length
6		maximum number of segments per node
4870	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
299 5 2613 120 5.188035 0.000000 0.400000
301 5 121 120 5.705791 0.000000 0.400000
303 5 121 2618 7.032191 0.000000 0.400000
304 5 2618 64 7.032191 0.000000 0.400000
306 5 121 112 8.610834 0.000000 0.400000
308 5 85 2623 15.067399 0.000000 0.400000
309 5 2623 122 15.067399 0.000000 0.400000
311 5 123 2626 5.577082 0.000000 0.400000
312 5 2626 2627 5.577082 0.000000 0.400000
313 5 2627 124 5.577082 0.000000 0.400000
315 5 123 125 6.100416 0.000000 0.400000
317 5 123 126 4.456680 0.000000 0.400000
319 5 117 93 8.478106 0.000000 0.400000
321 5 74 63 5.626173 0.000000 0.400000
323 5 93 127 6.708773 0.000000 0.400000
325 5 111 128 4.000000 0.000000 0.400000
327 5 120 2642 5.252564 0.000000 0.400000
328 5 2642 2643 5.252564 0.000000 0.400000
329 5 2643 129 5.252564 0.000000 0.400000
331 5 67 2646 4.716660 0.000000 0.400000
332 5 2646 130 4.716660 0.000000 0.400000
334 5 67 131 7.051152 0.000000 0.400000
336 5 125 2651 5.576753 0.000000 0.400000
337 5 2651 132 5.576753 0.000000 0.400000
339 5 125 2654 6.716077 0.000000 0.400000
340 5 2654 133 6.716077 0.000000 0.400000
342 5 133 117 5.303798 0.000000 0.400000
344 5 133 2659 5.547441 0.000000 0.400000
345 5 2659 134 5.547441 0.000000 0.400000
347 5 63 2662 6.254693 0.000000 0.400000
348 5 2662 135 6.254693 0.000000 0.400000
350 5 92 2665 11.117630 0.000000 0.400000
351 5 2665 136 11.117630 0.000000 0.400000
353 5 137 138 6.292383 0.000000 0.400000
355 5 98 127 4.190635 0.000000 0.400000
357 5 98 127 7.202396 0.000000 0.400000
359 5 99 2674 5.677638 0.000000 0.400000
360 5 2674 139 5.677638 0.000000 0.400000
362 5 99 100 5.645401 0.000000 0.400000
364 5 64 2679 10.376369 0.000000 0.400000
365 5 2679 141 10.376369 0.000000 0.400000
367 5 101 2682 17.244106 0.000000 0.400000
368 5 2682 142 17.244106 0.000000 0.400000
370 5 56 114 8.191257 0.000000 0.400000
372 5 114 56 11.345597 0.000000 0.400000
374 5 54 143 4.948018 0.000000 0.400000
376 5 54 144 6.162726 0.000000 0.400000
378 5 36 145 4.280362 0.000000 0.400000
380 5 36 2695 5.739123 0.000000 0.400000
381 5 2695 146 5.739123 0.000000 0.400000
383 5 40 144 5.645157 0.000000 0.400000
385 5 124 2700 5.572251 0.000000 0.400000
386 5 2700 2701 5.572251 0.000000 0.400000
387 5 2701 147 5.572251 0.000000 0.400000
389 5 124 102 5.576242 0.000000 0.400000
391 5 92 149 6.952421 0.000000 0.400000
393 5 105 2708 10.472120 0.000000 0.400000
394 5 2708 150 10.472120 0.000000 0.400000
396 5 137 2711 6.741704 0.000000 0.400000
397 5 2711 2712 6.741704 0.000000 0.400000
398 5 2712 151 6.741704 0.000000 0.400000
400 5 137 2715 5.894936 0.000000 0.400000
401 5 2715 152 5.894936 0.000000 0.400000
403 5 63 119 9.203853 0.000000 0.400000
405 5 40 153 7.138904 0.000000 0.400000
407 5 108 154 8.393773 0.000000 0.400000
409 5 119 155 8.991052 0.000000 0.400000
411 5 100 2726 4.630788 0.000000 0.400000
412 5 2726 2727 4.630788 0.000000 0.400000
413 5 2727 156 4.630788 0.000000 0.400000
415 5 157 2730 4.243445 0.000000 0.400000
416 5 2730 158 4.243445 0.000000 0.400000
418 5 157 53 5.504230 0.000000 0.400000
420 5 157 159 5.164541 0.000000 0.400000
422 5 35 2737 4.851760 0.000000 0.400000
423 5 2737 2738 4.851760 0.000000 0.400000
424 5 2738 160 4.851760 0.000000 0.400000
426 5 35 161 7.344785 0.000000 0.400000
428 5 115 2743 5.012075 0.000000 0.400000
429 5 2743 2744 5.012075 0.000000 0.400000
430 5 2744 162 5.012075 0.000000 0.400000
432 5 115 2747 5.427471 0.000000 0.400000
433 5 2747 163 5.427471 0.000000 0.400000
435 5 73 164 14.116859 0.000000 0.400000
437 5 148 165 12.248748 0.000000 0.400000
439 5 148 166 12.146810 0.000000 0.400000
441 5 151 154 20.891073 0.000000 0.400000
443 5 151 167 20.467571 0.000000 0.400000
445 5 154 96 19.871967 0.000000 0.400000
447 5 110 168 4.231099 0.000000 0.400000
449 5 65 130 4.000000 0.000000 0.400000
451 5 144 2766 5.602343 0.000000 0.400000
452 5 2766 170 5.602343 0.000000 0.400000
454 5 28 171 8.349910 0.000000 0.400000
456 5 53 172 6.315056 0.000000 0.400000
458 5 153 2773 5.952715 0.000000 0.400000
459 5 2773 2774 5.952715 0.000000 0.400000
460 5 2774 170 5.952715 0.000000 0.400000
462 5 146 174 4.479764 0.000000 0.400000
464 5 136 175 14.808852 0.000000 0.400000
466 5 136 2781 8.751708 0.000000 0.400000
467 5 2781 176 8.751708 0.000000 0.400000
469 5 177 2784 5.646289 0.000000 0.400000
470 5 2784 178 5.646289 0.000000 0.400000
472 5 177 179 6.595198 0.000000 0.400000
474 5 177 168 5.972087 0.000000 0.400000
476 5 168 180 5.928945 0.000000 0.400000
478 5 97 181 10.976550 0.000000 0.400000
480 5 97 182 6.515418 0.000000 0.400000
482 5 145 183 5.824346 0.000000 0.400000
484 5 145 164 7.158423 0.000000 0.400000
486 5 173 184 5.962777 0.000000 0.400000
488 5 173 185 5.751711 0.000000 0.400000
490 5 165 175 12.956128 0.000000 0.400000
492 5 175 186 12.141880 0.000000 0.400000
494 5 166 2809 11.102888 0.000000 0.400000
495 5 2809 187 11.102888 0.000000 0.400000
497 5 129 2812 10.439161 0.000000 0.400000
498 5 2812 188 10.439161 0.000000 0.400000
500 5 129 189 6.999788 0.000000 0.400000
502 5 138 180 6.318496 0.000000 0.400000
504 5 130 169 4.000000 0.000000 0.400000
506 5 131 190 5.572479 0.000000 0.400000
508 5 131 2823 5.645130 0.000000 0.400000
509 5 2823 191 5.645130 0.000000 0.400000
511 5 165 2826 14.860524 0.000000 0.400000
512 5 2826 2827 14.860524 0.000000 0.400000
513 5 2827 192 14.860524 0.000000 0.400000
515 5 166 193 5.718484 0.000000 0.400000
517 5 155 194 8.081052 0.000000 0.400000
519 5 155 195 7.464587 0.000000 0.400000
521 5 138 2836 5.350582 0.000000 0.400000
522 5 2836 2837 5.350582 0.000000 0.400000
523 5 2837 196 5.350582 0.000000 0.400000
525 5 197 198 6.400748 0.000000 0.400000
527 5 197 199 5.654932 0.000000 0.400000
529 5 197 198 4.000000 0.000000 0.400000
531 5 127 2846 6.812163 0.000000 0.400000
532 5 2846 179 6.812163 0.000000 0.400000
534 5 200 201 4.271586 0.000000 0.400000
536 5 200 202 4.791365 0.000000 0.400000
538 5 91 203 6.397515 0.000000 0.400000
540 5 91 204 6.586561 0.000000 0.400000
542 5 167 205 20.292959 0.000000 0.400000
544 5 167 206 19.039951 0.000000 0.400000
546 5 96 207 17.425753 0.000000 0.400000
548 5 208 2863 5.586120 0.000000 0.400000
549 5 2863 209 5.586120 0.000000 0.400000
551 5 208 103 8.717373 0.000000 0.400000
553 5 210 211 6.028824 0.000000 0.400000
555 5 210 2870 5.512224 0.000000 0.400000
556 5 2870 212 5.512224 0.000000 0.400000
558 5 210 2873 4.415807 0.000000 0.400000
559 5 2873 213 4.415807 0.000000 0.400000
561 5 140 2876 5.591216 0.000000 0.400000
562 5 2876 2877 5.591216 0.000000 0.400000
